node idx,node anomaly score
4,0.08002657
5,0.013180681
10,0.00098892
14,3.928642e-05
15,0.009815859
20,0.0005680935
22,0.0010796727
23,0.00041346368
25,0.0007677137
26,0.027739597
29,0.001732096
30,0.25236103
36,0.13616268
38,0.00014880215
39,0.011440995
40,0.16434874
42,0.0017388634
44,0.10920602
45,0.0051091174
48,0.001588622
49,0.26358753
50,0.013778767
54,0.00027395558
55,0.023307137
59,0.0014545311
63,0.0142587535
68,0.0147317145
69,0.0062465617
77,1.2408466e-05
78,0.0013445484
81,0.032085538
86,0.0032389946
88,0.0005395853
95,0.006294482
100,0.045557156
103,1.3874627e-07
112,0.00013206716
114,0.33013365
115,0.009248978
117,0.028398959
126,0.005834811
128,0.0038379945
130,0.034886025
131,0.006832233
132,0.0056755645
133,0.004693213
135,0.00036733292
136,0.0012433265
137,0.0027731075
138,0.007425473
139,0.002688672
141,0.058709063
143,0.00209391
147,0.0039005692
149,0.026570773
154,5.6416566e-06
158,0.03207038
161,0.015055421
162,0.0040194876
165,0.0023356448
166,0.0036144245
167,0.00044973346
168,0.05587464
170,0.000100941674
172,0.0016174383
175,2.8761423e-07
177,8.4210046e-07
179,0.0054918965
182,0.005344878
183,0.00042326454
184,0.00034376112
185,0.36521608
186,5.3707545e-09
190,2.661621e-07
191,0.0011812616
202,0.005615945
208,0.011982757
210,0.014103458
212,0.0010897913
213,0.061262373
218,4.593859e-05
223,0.00062602863
224,0.0012448432
225,0.008392127
228,0.0016052625
229,0.00064549426
231,0.0027432253
236,0.00042212981
238,0.012632561
242,0.19994187
243,0.009015916
244,0.0003596816
247,0.0036455505
250,0.00013697587
251,0.20230034
252,0.00021336977
253,3.9120132e-05
254,0.00041515724
261,0.0007892193
262,0.2031413
263,4.563817e-05
266,0.011159715
267,0.0031555498
269,0.045692034
274,0.0055414545
276,0.005770726
286,0.0006455139
287,0.0028029734
290,0.0002489893
291,0.0065570883
292,0.06854821
294,0.0027658592
296,0.00030074478
300,0.8255414
301,4.163925e-05
303,0.005329002
304,5.4328193e-06
305,0.003373328
307,0.0038788123
310,0.067362405
311,0.0010880652
314,0.0042090155
315,0.12475182
316,0.00034248404
317,0.0019064195
319,0.008565555
320,0.00022842041
321,0.0030622988
324,7.119534e-06
325,0.013358089
331,2.6505428e-10
332,0.002427573
333,0.0004538333
335,0.001578105
340,0.016552392
342,0.0031672826
343,0.04681748
344,2.7700823e-06
354,0.01805317
359,0.0061075576
360,0.011664015
362,0.008000723
365,7.7478563e-07
368,0.9585632
370,0.5620413
371,1.12526295e-05
376,0.0066161947
379,0.004419106
380,0.0062511093
384,0.010133472
390,5.0639464e-06
394,2.781609e-05
397,0.005178455
401,1.844618e-05
403,0.00042935048
408,9.860962e-05
410,3.448249e-05
416,0.46223786
419,0.00033371724
420,0.0048491214
421,0.0350557
423,5.7073237e-05
425,1.0118211e-10
427,0.00033035423
431,0.1767293
432,0.0065586795
434,2.3863719e-05
435,0.3058139
437,0.015969092
438,0.009985173
440,0.00079958705
442,0.0010835635
443,0.050690677
451,0.005606409
457,0.000101863756
458,0.08920634
459,0.005136023
462,0.001273084
465,0.01614314
466,0.0020153276
468,3.8271133e-05
469,0.00017315801
470,0.05138833
471,2.5221263e-07
473,3.557564e-10
474,0.000114080605
475,0.020315342
477,0.6422432
479,0.0005160836
482,0.00025582733
483,0.0016275228
489,0.00684965
494,0.0190452
495,0.002392794
496,0.04446772
497,0.00014026648
499,0.0056929854
504,0.02098304
505,5.268457e-05
510,0.053924058
512,0.13860747
515,6.171611e-06
517,0.0037860759
522,0.0048338305
526,0.018693788
527,0.011423062
532,0.017339747
535,0.0024037457
538,0.17113043
539,0.008413996
545,0.005877095
550,0.00013947267
554,0.0040765754
555,0.0040312335
558,0.0061611417
560,0.007000331
564,0.00011295829
566,0.0025878265
567,0.00094267033
568,0.06562916
569,1.8205661e-08
570,0.0009444251
572,1.4658037e-06
575,0.0074021164
576,0.015096205
578,0.013230389
583,0.0037750422
586,0.0019743794
591,0.034523096
592,1.9550907e-08
597,0.0004918916
601,0.071325935
602,0.0030922575
604,0.028405694
605,0.020424956
607,0.014331857
608,7.022431e-06
613,0.019858832
614,0.0039603054
615,0.000658699
618,2.169806e-05
621,0.0009322664
623,0.022898031
627,0.032280397
629,9.7152086e-05
631,0.0056774593
632,0.001361081
633,0.0002220843
636,0.0059926794
637,4.9194587e-05
639,0.004393802
640,0.026815772
646,0.00078710436
650,0.0017019665
651,0.0034851192
653,7.234025e-05
654,0.00044876733
656,0.0011707942
660,0.047052275
661,0.0032706766
664,0.0005835477
665,0.0011039685
667,2.0209729e-05
668,4.9415682e-08
669,0.005526675
670,0.0039205397
671,0.052660044
674,1.0283197e-10
675,0.025415117
676,2.4609071e-06
677,0.0006407867
681,0.00035251203
682,0.000122046506
686,0.0005733854
690,0.041287977
691,0.01461611
692,0.00034895973
693,0.006470981
694,0.5137447
697,0.0012665048
698,0.0014534675
702,0.0024210785
707,0.003949727
719,0.16967659
722,0.012280821
723,0.12128838
725,0.05997644
731,0.0017474664
733,0.033714548
734,0.025995964
736,0.023994878
738,0.03788798
740,0.035375305
741,0.0018156231
743,9.724106e-05
744,0.0024612083
755,0.0051583704
757,0.0017529048
758,0.0072468016
760,5.0527397e-05
761,0.009360094
764,0.001653513
766,0.0007599805
768,0.038339972
769,0.061034616
770,1.7672126e-05
773,0.0002677091
774,0.015266619
777,2.010129e-06
778,0.0013166494
781,0.0013399668
785,0.00037574256
787,0.012758023
788,0.002019752
794,2.2041382e-07
795,2.576344e-05
796,0.0015153376
800,0.0012888567
801,0.0066883895
808,0.0005087999
811,0.00015643783
812,0.00068204413
813,8.627019e-07
816,0.01576561
832,4.675891e-05
836,0.004044488
837,0.0042049247
839,9.189244e-05
843,0.016583221
847,0.0009739
849,0.00020285675
850,0.00019521794
853,0.0074696876
854,0.010503037
856,0.0012814928
860,1.8053008e-05
861,5.640968e-06
862,0.023887195
864,0.009276424
865,0.0051450753
866,8.9692774e-05
868,0.001278372
871,0.0057959943
872,0.004011066
873,0.15529452
876,0.0044028903
878,0.0051671476
882,0.014016313
883,0.00080521463
888,0.00013752028
891,0.002045504
892,0.050190788
893,0.050932057
897,0.0014826341
900,0.00498227
905,0.0038790482
906,0.0074771587
907,0.000486312
908,0.002953047
909,0.0062427735
910,5.7738915e-05
912,0.00033473686
913,0.002101832
914,0.0009754155
917,0.004297939
919,0.0021226732
920,0.00807127
923,0.4604102
926,0.0029813955
927,0.0057963463
928,0.03924113
930,0.00056171854
935,0.00044884946
937,0.00029557812
939,0.0040036365
940,0.0028985634
941,0.005925433
942,0.0013888617
952,0.04315612
955,0.0035761609
958,0.011232693
960,1.4132883e-05
961,0.005017492
962,0.0025099348
965,0.02115677
967,2.0728865e-09
969,0.00014966734
970,0.0010545598
972,0.00823912
973,0.008843074
976,0.009343979
978,0.10192139
980,0.002957183
981,0.0027420565
982,0.021701662
986,0.40510303
987,0.0002314652
989,0.0020585025
991,0.01005085
993,0.0022067756
995,0.060335312
997,0.03136559
1000,0.01639811
1004,0.0024757865
1007,0.0005077767
1008,0.00022715553
1011,0.0002002249
1014,1.7192704e-05
1016,0.023617584
1023,0.00031102772
1024,0.0071361167
1028,0.002772601
1030,0.017524788
1031,0.002795562
1032,0.16228874
1033,0.0025931096
1035,8.179654e-05
1036,0.002460759
1041,0.00096868817
1042,0.0030972476
1049,0.00012759105
1050,0.0031904913
1051,5.9702663e-05
1055,0.0070386184
1056,0.008169591
1060,0.018975196
1061,0.022958195
1062,0.009816452
1063,0.033984013
1064,0.006500478
1065,3.7741105e-05
1070,0.0029759575
1071,0.0011411965
1072,0.0007561431
1076,0.010268431
1079,0.0021479682
1080,0.0017700765
1081,0.0046071922
1083,0.016910853
1084,0.04881667
1085,0.0028048505
1088,0.017294565
1090,0.00025941138
1092,0.018405993
1093,0.003658876
1094,0.00020567374
1098,0.00643576
1100,0.49584967
1103,0.08417932
1107,0.004667623
1111,0.0015936642
1114,0.021108791
1119,0.00050027436
1122,0.0006730352
1125,0.16278929
1126,0.0133584915
1128,7.163729e-05
1131,0.045942858
1137,0.003252422
1139,0.0015635549
1146,0.044980124
1149,0.0014017884
1152,0.00049893337
1153,0.0058947727
1156,0.0012044216
1160,0.0038868391
1161,0.0066188034
1162,0.008309741
1163,0.0035826918
1167,0.0003547776
1175,0.0028696025
1177,0.014234325
1178,0.0042408565
1181,0.012419293
1184,0.050337926
1186,0.011456192
1187,0.10974751
1188,1.1652466e-12
1192,0.0019708944
1195,0.9696582
1196,0.003341874
1199,0.010034467
1203,0.0003399649
1213,0.0012195307
1214,0.00079365994
1217,0.007193863
1218,0.010779655
1220,0.00022740518
1223,0.042322118
1226,0.006794236
1234,0.021865861
1240,0.0050494345
1241,0.00020389924
1242,4.9513885e-05
1246,0.0040336847
1248,0.0068804435
1252,0.010548489
1253,0.038196206
1254,7.798919e-05
1257,0.06393928
1259,0.003952129
1263,0.014281074
1267,0.04195628
1272,0.001611339
1276,0.002338776
1281,0.0037594654
1282,4.313699e-05
1285,0.002533578
1287,0.033246465
1288,0.002876947
1291,0.005796698
1292,0.00028321912
1293,0.0011995488
1294,0.18047649
1296,0.00095362624
1298,0.002962226
1302,0.0035501567
1305,0.0027090423
1308,0.014925647
1314,0.0013920824
1315,1.2983334e-05
1320,0.38947394
1321,0.007738177
1325,0.0028779977
1326,0.024249187
1328,1.2427415e-05
1330,0.0037856158
1331,0.1425561
1332,0.0058065555
1333,0.0026028361
1334,0.035461847
1335,0.0010607505
1336,0.022542968
1337,0.0032712733
1338,0.022866646
1342,9.749063e-05
1343,0.0019892277
1346,0.025166862
1352,0.013025981
1356,0.00022689231
1357,5.9680802e-05
1359,0.002566099
1360,0.02524409
1361,0.0009098298
1363,0.048146557
1366,0.011363253
1367,0.002065536
1370,0.003944927
1374,0.008948276
1375,6.0798433e-05
1379,0.0075262375
1382,0.01700854
1388,0.0005080245
1392,0.015353804
1393,0.0074638077
1394,0.0011867473
1401,0.00608057
1405,0.004417898
1407,0.00065673323
1408,0.0068904604
1409,0.00033850566
1410,0.0135337785
1413,0.0020202443
1414,0.17264211
1415,0.0028414489
1417,0.0013034733
1418,0.011207975
1419,0.00067967706
1422,0.9136525
1427,0.00036507627
1428,0.010391355
1432,0.007887684
1435,0.18368511
1438,0.008040543
1442,0.0127472645
1443,0.008112912
1446,0.002222691
1447,0.0056241313
1450,0.0037079295
1451,0.003665446
1454,0.0005304471
1456,0.00040467898
1458,0.00422003
1462,0.0011938586
1465,0.00012889018
1469,0.023135472
1470,0.17316581
1471,4.086881e-05
1473,0.005410168
1474,0.01012827
1478,0.013808657
1479,0.8633268
